manga_name,manga_slug,chapter_number,panel_count,expected_count,status,timestamp,error,cloudinary_folder
Dandadan,dandadan,173,19,19,success,2025-11-01T19:50:38.842638,,manga/dandadan/chapter-173
Dandadan,dandadan,174,19,19,success,2025-11-01T19:52:14.146539,,manga/dandadan/chapter-174
Dandadan,dandadan,175,19,19,success,2025-11-01T19:53:37.662209,,manga/dandadan/chapter-175
Dandadan,dandadan,176,19,19,success,2025-11-01T19:54:47.601842,,manga/dandadan/chapter-176
Dandadan,dandadan,177,21,21,success,2025-11-01T19:55:57.019144,,manga/dandadan/chapter-177
Dandadan,dandadan,178,23,23,success,2025-10-31T16:26:11.625843,,manga/dandadan/chapter-178
Dandadan,dandadan,179,19,19,success,2025-10-31T16:27:14.023138,,manga/dandadan/chapter-179
Dandadan,dandadan,180,20,20,success,2025-10-31T16:28:23.647476,,manga/dandadan/chapter-180
Dandadan,dandadan,181,19,19,success,2025-10-31T16:29:55.495273,,manga/dandadan/chapter-181
Dandadan,dandadan,182,20,20,success,2025-10-31T16:31:41.353186,,manga/dandadan/chapter-182
Dandadan,dandadan,183,19,19,success,2025-11-01T20:04:30.073128,,manga/dandadan/chapter-183
Dandadan,dandadan,184,20,20,success,2025-11-01T20:06:08.683471,,manga/dandadan/chapter-184
Dandadan,dandadan,185,20,20,success,2025-11-01T20:07:39.464371,,manga/dandadan/chapter-185
Dandadan,dandadan,186,25,25,success,2025-11-01T20:10:40.770405,,manga/dandadan/chapter-186
Dandadan,dandadan,187,23,23,success,2025-11-01T20:13:52.081210,,manga/dandadan/chapter-187
Dandadan,dandadan,188,18,18,success,2025-11-01T20:16:00.425157,,manga/dandadan/chapter-188
Dandadan,dandadan,189,19,19,success,2025-11-01T20:17:42.624091,,manga/dandadan/chapter-189
Dandadan,dandadan,190,19,19,success,2025-11-01T20:19:16.762056,,manga/dandadan/chapter-190
Dandadan,dandadan,191,19,19,success,2025-11-01T20:21:02.131082,,manga/dandadan/chapter-191
Dandadan,dandadan,192,19,19,success,2025-11-01T20:22:11.636426,,manga/dandadan/chapter-192
Dandadan,dandadan,193,19,19,success,2025-11-01T20:23:18.805317,,manga/dandadan/chapter-193
Dandadan,dandadan,194,21,21,success,2025-11-01T20:25:21.181324,,manga/dandadan/chapter-194
Dandadan,dandadan,195,20,20,success,2025-11-01T20:27:06.674669,,manga/dandadan/chapter-195
Dandadan,dandadan,196,19,19,success,2025-11-01T20:29:25.514692,,manga/dandadan/chapter-196
Dandadan,dandadan,197,21,21,success,2025-11-01T20:31:48.048232,,manga/dandadan/chapter-197
Dandadan,dandadan,198,25,25,success,2025-11-01T20:35:10.220505,,manga/dandadan/chapter-198
