filename,public_id,folder,url,cloudinary_url,format,width,height,size_kb,created_at,resource_type
panel-007_xocbpk,panel-007_xocbpk,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223285/panel-007_xocbpk.jpg,cloudinary://dk9ywbxu1/image/upload/panel-007_xocbpk,jpg,720,5317,293,2025-10-23T12:41:25Z,image
panel-004_lujvqb,panel-004_lujvqb,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223272/panel-004_lujvqb.jpg,cloudinary://dk9ywbxu1/image/upload/panel-004_lujvqb,jpg,720,5478,316,2025-10-23T12:41:12Z,image
panel-002_thguyj,panel-002_thguyj,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223271/panel-002_thguyj.jpg,cloudinary://dk9ywbxu1/image/upload/panel-002_thguyj,jpg,720,6000,286,2025-10-23T12:41:11Z,image
panel-003_jiceag,panel-003_jiceag,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223271/panel-003_jiceag.jpg,cloudinary://dk9ywbxu1/image/upload/panel-003_jiceag,jpg,720,4420,203,2025-10-23T12:41:11Z,image
panel-012_h3jz6g,panel-012_h3jz6g,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223271/panel-012_h3jz6g.jpg,cloudinary://dk9ywbxu1/image/upload/panel-012_h3jz6g,jpg,720,5123,238,2025-10-23T12:41:11Z,image
panel-016_xqaase,panel-016_xqaase,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223271/panel-016_xqaase.jpg,cloudinary://dk9ywbxu1/image/upload/panel-016_xqaase,jpg,720,5665,346,2025-10-23T12:41:11Z,image
panel-015_haorm6,panel-015_haorm6,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223271/panel-015_haorm6.jpg,cloudinary://dk9ywbxu1/image/upload/panel-015_haorm6,jpg,720,5336,314,2025-10-23T12:41:11Z,image
panel-017_hcpofu,panel-017_hcpofu,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223270/panel-017_hcpofu.jpg,cloudinary://dk9ywbxu1/image/upload/panel-017_hcpofu,jpg,720,4200,213,2025-10-23T12:41:10Z,image
panel-018_ckz9wd,panel-018_ckz9wd,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223270/panel-018_ckz9wd.jpg,cloudinary://dk9ywbxu1/image/upload/panel-018_ckz9wd,jpg,1400,1050,120,2025-10-23T12:41:10Z,image
panel-001_aoh2v3,panel-001_aoh2v3,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223270/panel-001_aoh2v3.jpg,cloudinary://dk9ywbxu1/image/upload/panel-001_aoh2v3,jpg,600,700,73,2025-10-23T12:41:10Z,image
panel-014_m2opch,panel-014_m2opch,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223269/panel-014_m2opch.jpg,cloudinary://dk9ywbxu1/image/upload/panel-014_m2opch,jpg,720,6000,275,2025-10-23T12:41:09Z,image
